1709124507.476734 server started (31581): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1709124507.476760 on Linux 6.6.16-2-MANJARO #1 SMP PREEMPT_DYNAMIC Sat Feb 10 09:40:02 UTC 2024
1709124507.476766 using libevent 2.1.12-stable poll
1709124507.476767 using ncurses 6.4 20230520
1709124507.479546 args_parse_flags: next n
1709124507.479547 args_parse: flags end at 3 of 5
1709124507.479548 args_parse: 3 = n (type STRING)
1709124507.479549 args_parse: 4 = next-window (type COMMANDS)
1709124507.479551 cmd_parse_build_commands: bind-key -N "Select the next window" n { next-window }
1709124507.479553 cmdq_get_command: [bind-key/0x55bdeabdfad0] group 370
1709124507.479554 cmdq_append <global>: [bind-key/0x55bdeabdfad0]
1709124507.479555 yylex_token: end at WS
1709124507.479556 yylex_token: bind
1709124507.479557 yylex_token: end at WS
1709124507.479557 yylex_token: -N
1709124507.479558 yylex_token: end at WS
1709124507.479559 yylex_token: Select the next pane
1709124507.479560 yylex_token: end at WS
1709124507.479560 yylex_token: o
1709124507.479561 yylex_token: end at WS
1709124507.479562 yylex_token: select-pane
1709124507.479563 yylex_token: end at WS
1709124507.479564 yylex_token: -t:.+
1709124507.479565 cmd_parse_build_commands 0:0: bind
1709124507.479566 cmd_parse_build_commands 0:1: -N
1709124507.479567 cmd_parse_build_commands 0:2: Select the next pane
1709124507.479568 cmd_parse_build_commands 0:3: o
1709124507.479568 cmd_parse_build_commands 0:4 0:0: select-pane
1709124507.479569 cmd_parse_build_commands 0:4 0:1: -t:.+
1709124507.479570 cmd_parse_build_commands 0:0: select-pane
1709124507.479571 cmd_parse_build_commands 0:1: -t:.+
1709124507.479573 args_parse_flags: next -t:.+
1709124507.479574 args_parse_flag_argument: -t = :.+
1709124507.479575 args_parse: flags end at 2 of 2
1709124507.479577 cmd_parse_build_commands: select-pane -t :.+
1709124507.479577 args_parse_flags: next -N
1709124507.479579 args_parse_flag_argument: -N = Select the next pane
1709124507.479580 args_parse_flags: next o
1709124507.479580 args_parse: flags end at 3 of 5
1709124507.479581 args_parse: 3 = o (type STRING)
1709124507.479583 args_parse: 4 = select-pane -t :.+ (type COMMANDS)
1709124507.479586 cmd_parse_build_commands: bind-key -N "Select the next pane" o { select-pane -t :.+ }
1709124507.479588 cmdq_get_command: [bind-key/0x55bdeabdfec0] group 378
1709124507.479589 cmdq_append <global>: [bind-key/0x55bdeabdfec0]
1709124507.479590 yylex_token: end at WS
1709124507.479590 yylex_token: bind
1709124507.479591 yylex_token: end at WS
1709124507.479592 yylex_token: -N
1709124507.479593 yylex_token: end at WS
1709124507.479594 yylex_token: Customize options
1709124507.479594 yylex_token: end at WS
1709124507.479595 yylex_token: C
1709124507.479596 yylex_token: end at WS
1709124507.479597 yylex_token: customize-mode
1709124507.479598 yylex_token: end at WS
1709124507.479598 yylex_token: -Z
1709124507.479600 cmd_parse_build_commands 0:0: bind
1709124507.479601 cmd_parse_build_commands 0:1: -N
1709124507.479602 cmd_parse_build_commands 0:2: Customize options
1709124507.479603 cmd_parse_build_commands 0:3: C
1709124507.479604 cmd_parse_build_commands 0:4 0:0: customize-mode
1709124507.479605 cmd_parse_build_commands 0:4 0:1: -Z
1709124507.479606 cmd_parse_build_commands 0:0: customize-mode
1709124507.479607 cmd_parse_build_commands 0:1: -Z
1709124507.479608 args_parse_flags: next -Z
1709124507.479609 args_parse_flags: -Z
1709124507.479610 args_parse: flags end at 2 of 2
1709124507.479611 cmd_parse_build_commands: customize-mode -Z
1709124507.479612 args_parse_flags: next -N
1709124507.479613 args_parse_flag_argument: -N = Customize options
1709124507.479614 args_parse_flags: next C
1709124507.479615 args_parse: flags end at 3 of 5
1709124507.479616 args_parse: 3 = C (type STRING)
1709124507.479619 args_parse: 4 = customize-mode -Z (type COMMANDS)
1709124507.479622 cmd_parse_build_commands: bind-key -N "Customize options" C { customize-mode -Z }
1709124507.479623 cmdq_get_command: [bind-key/0x55bdeabe01f0] group 386
1709124507.479624 cmdq_append <global>: [bind-key/0x55bdeabe01f0]
1709124507.479627 yylex_token: end at WS
1709124507.479627 yylex_token: bind
1709124507.479628 yylex_token: end at WS
1709124507.479629 yylex_token: -N
1709124507.479630 yylex_token: end at WS
1709124507.479631 yylex_token: Select the previous window
1709124507.479632 yylex_token: end at WS
1709124507.479632 yylex_token: p
1709124507.479633 yylex_token: end at WS
1709124507.479634 yylex_token: previous-window
1709124507.479635 cmd_parse_build_commands 0:0: bind
1709124507.479636 cmd_parse_build_commands 0:1: -N
1709124507.479637 cmd_parse_build_commands 0:2: Select the previous window
1709124507.479638 cmd_parse_build_commands 0:3: p
1709124507.479639 cmd_parse_build_commands 0:4 0:0: previous-window
1709124507.479640 cmd_parse_build_commands 0:0: previous-window
1709124507.479642 args_parse: flags end at 1 of 1
1709124507.479643 cmd_parse_build_commands: previous-window
1709124507.479644 args_parse_flags: next -N
1709124507.479645 args_parse_flag_argument: -N = Select the previous window
1709124507.479646 args_parse_flags: next p
1709124507.479646 args_parse: flags end at 3 of 5
1709124507.479647 args_parse: 3 = p (type STRING)
1709124507.479648 args_parse: 4 = previous-window (type COMMANDS)
1709124507.479651 cmd_parse_build_commands: bind-key -N "Select the previous window" p { previous-window }
1709124507.479652 cmdq_get_command: [bind-key/0x55bdeabe0aa0] group 394
1709124507.479653 cmdq_append <global>: [bind-key/0x55bdeabe0aa0]
1709124507.479655 yylex_token: end at WS
1709124507.479656 yylex_token: bind
1709124507.479656 yylex_token: end at WS
1709124507.479657 yylex_token: -N
1709124507.479658 yylex_token: end at WS
1709124507.479659 yylex_token: Display pane numbers
1709124507.479660 yylex_token: end at WS
1709124507.479660 yylex_token: q
1709124507.479661 yylex_token: end at WS
1709124507.479662 yylex_token: display-panes
1709124507.479663 cmd_parse_build_commands 0:0: bind
1709124507.479664 cmd_parse_build_commands 0:1: -N
1709124507.479665 cmd_parse_build_commands 0:2: Display pane numbers
1709124507.479666 cmd_parse_build_commands 0:3: q
1709124507.479667 cmd_parse_build_commands 0:4 0:0: display-panes
1709124507.479668 cmd_parse_build_commands 0:0: display-panes
1709124507.479670 args_parse: flags end at 1 of 1
1709124507.479671 cmd_parse_build_commands: display-panes
1709124507.479672 args_parse_flags: next -N
1709124507.479673 args_parse_flag_argument: -N = Display pane numbers
1709124507.479674 args_parse_flags: next q
1709124507.479675 args_parse: flags end at 3 of 5
1709124507.479675 args_parse: 3 = q (type STRING)
1709124507.479677 args_parse: 4 = display-panes (type COMMANDS)
1709124507.479679 cmd_parse_build_commands: bind-key -N "Display pane numbers" q { display-panes }
1709124507.479681 cmdq_get_command: [bind-key/0x55bdeabe0be0] group 402
1709124507.479682 cmdq_append <global>: [bind-key/0x55bdeabe0be0]
1709124507.479683 yylex_token: end at WS
1709124507.479684 yylex_token: bind
1709124507.479684 yylex_token: end at WS
1709124507.479685 yylex_token: -N
1709124507.479686 yylex_token: end at WS
1709124507.479687 yylex_token: Redraw the current client
1709124507.479688 yylex_token: end at WS
1709124507.479688 yylex_token: r
1709124507.479689 yylex_token: end at WS
1709124507.479690 yylex_token: refresh-client
1709124507.479692 cmd_parse_build_commands 0:0: bind
1709124507.479692 cmd_parse_build_commands 0:1: -N
1709124507.479693 cmd_parse_build_commands 0:2: Redraw the current client
1709124507.479694 cmd_parse_build_commands 0:3: r
1709124507.479695 cmd_parse_build_commands 0:4 0:0: refresh-client
1709124507.479697 cmd_parse_build_commands 0:0: refresh-client
1709124507.479699 args_parse: flags end at 1 of 1
1709124507.479700 cmd_parse_build_commands: refresh-client
1709124507.479701 args_parse_flags: next -N
1709124507.479703 args_parse_flag_argument: -N = Redraw the current client
1709124507.479703 args_parse_flags: next r
1709124507.479704 args_parse: flags end at 3 of 5
1709124507.479705 args_parse: 3 = r (type STRING)
1709124507.479706 args_parse: 4 = refresh-client (type COMMANDS)
1709124507.479708 cmd_parse_build_commands: bind-key -N "Redraw the current client" r { refresh-client }
1709124507.479710 cmdq_get_command: [bind-key/0x55bdeabe1440] group 410
1709124507.479711 cmdq_append <global>: [bind-key/0x55bdeabe1440]
1709124507.479716 yylex_token: end at WS
1709124507.479717 yylex_token: bind
1709124507.479718 yylex_token: end at WS
1709124507.479718 yylex_token: -N
1709124507.479720 yylex_token: end at WS
1709124507.479720 yylex_token: Choose a session from a list
1709124507.479721 yylex_token: end at WS
1709124507.479722 yylex_token: s
1709124507.479723 yylex_token: end at WS
1709124507.479724 yylex_token: choose-tree
1709124507.479725 yylex_token: end at WS
1709124507.479725 yylex_token: -Zs
1709124507.479726 cmd_parse_build_commands 0:0: bind
1709124507.479727 cmd_parse_build_commands 0:1: -N
1709124507.479728 cmd_parse_build_commands 0:2: Choose a session from a list
1709124507.479729 cmd_parse_build_commands 0:3: s
1709124507.479730 cmd_parse_build_commands 0:4 0:0: choose-tree
1709124507.479731 cmd_parse_build_commands 0:4 0:1: -Zs
1709124507.479732 cmd_parse_build_commands 0:0: choose-tree
1709124507.479733 cmd_parse_build_commands 0:1: -Zs
1709124507.479734 args_parse_flags: next -Zs
1709124507.479735 args_parse_flags: -Z
1709124507.479736 args_parse_flags: -s
1709124507.479736 args_parse: flags end at 2 of 2
1709124507.479738 cmd_parse_build_commands: choose-tree -Zs
1709124507.479739 args_parse_flags: next -N
1709124507.479740 args_parse_flag_argument: -N = Choose a session from a list
1709124507.479740 args_parse_flags: next s
1709124507.479741 args_parse: flags end at 3 of 5
1709124507.479742 args_parse: 3 = s (type STRING)
1709124507.479743 args_parse: 4 = choose-tree -Zs (type COMMANDS)
1709124507.479746 cmd_parse_build_commands: bind-key -N "Choose a session from a list" s { choose-tree -Zs }
1709124507.479747 cmdq_get_command: [bind-key/0x55bdeabe1d50] group 418
1709124507.479748 cmdq_append <global>: [bind-key/0x55bdeabe1d50]
1709124507.479750 yylex_token: end at WS
1709124507.479750 yylex_token: bind
1709124507.479751 yylex_token: end at WS
1709124507.479752 yylex_token: -N
1709124507.479753 yylex_token: end at WS
1709124507.479753 yylex_token: Show a clock
1709124507.479754 yylex_token: end at WS
1709124507.479755 yylex_token: t
1709124507.479756 yylex_token: end at WS
1709124507.479757 yylex_token: clock-mode
1709124507.479758 cmd_parse_build_commands 0:0: bind
1709124507.479758 cmd_parse_build_commands 0:1: -N
1709124507.479759 cmd_parse_build_commands 0:2: Show a clock
1709124507.479760 cmd_parse_build_commands 0:3: t
1709124507.479761 cmd_parse_build_commands 0:4 0:0: clock-mode
1709124507.479762 cmd_parse_build_commands 0:0: clock-mode
1709124507.479764 args_parse: flags end at 1 of 1
1709124507.479765 cmd_parse_build_commands: clock-mode
1709124507.479765 args_parse_flags: next -N
1709124507.479766 args_parse_flag_argument: -N = Show a clock
1709124507.479767 args_parse_flags: next t
1709124507.479768 args_parse: flags end at 3 of 5
1709124507.479769 args_parse: 3 = t (type STRING)
1709124507.479770 args_parse: 4 = clock-mode (type COMMANDS)
1709124507.479772 cmd_parse_build_commands: bind-key -N "Show a clock" t { clock-mode }
1709124507.479773 cmdq_get_command: [bind-key/0x55bdeabe22a0] group 426
1709124507.479774 cmdq_append <global>: [bind-key/0x55bdeabe22a0]
1709124507.479777 yylex_token: end at WS
1709124507.479777 yylex_token: bind
1709124507.479778 yylex_token: end at WS
1709124507.479779 yylex_token: -N
1709124507.479780 yylex_token: end at WS
1709124507.479781 yylex_token: Choose a window from a list
1709124507.479782 yylex_token: end at WS
1709124507.479782 yylex_token: w
1709124507.479783 yylex_token: end at WS
1709124507.479784 yylex_token: choose-tree
1709124507.479785 yylex_token: end at WS
1709124507.479787 yylex_token: -Zw
1709124507.479788 cmd_parse_build_commands 0:0: bind
1709124507.479789 cmd_parse_build_commands 0:1: -N
1709124507.479790 cmd_parse_build_commands 0:2: Choose a window from a list
1709124507.479791 cmd_parse_build_commands 0:3: w
1709124507.479792 cmd_parse_build_commands 0:4 0:0: choose-tree
1709124507.479793 cmd_parse_build_commands 0:4 0:1: -Zw
1709124507.479794 cmd_parse_build_commands 0:0: choose-tree
1709124507.479795 cmd_parse_build_commands 0:1: -Zw
1709124507.479796 args_parse_flags: next -Zw
1709124507.479796 args_parse_flags: -Z
1709124507.479797 args_parse_flags: -w
1709124507.479798 args_parse: flags end at 2 of 2
1709124507.479799 cmd_parse_build_commands: choose-tree -Zw
1709124507.479800 args_parse_flags: next -N
1709124507.479801 args_parse_flag_argument: -N = Choose a window from a list
1709124507.479802 args_parse_flags: next w
1709124507.479802 args_parse: flags end at 3 of 5
1709124507.479803 args_parse: 3 = w (type STRING)
1709124507.479804 args_parse: 4 = choose-tree -Zw (type COMMANDS)
1709124507.479807 cmd_parse_build_commands: bind-key -N "Choose a window from a list" w { choose-tree -Zw }
1709124507.479808 cmdq_get_command: [bind-key/0x55bdeabe2900] group 434
1709124507.479809 cmdq_append <global>: [bind-key/0x55bdeabe2900]
1709124507.479811 yylex_token: end at WS
1709124507.479811 yylex_token: bind
1709124507.479812 yylex_token: end at WS
1709124507.479813 yylex_token: -N
1709124507.479814 yylex_token: end at WS
1709124507.479815 yylex_token: Kill the active pane
1709124507.479815 yylex_token: end at WS
1709124507.479816 yylex_token: x
1709124507.479817 yylex_token: end at WS
1709124507.479818 yylex_token: confirm-before
1709124507.479819 yylex_token: end at WS
1709124507.479820 yylex_token: -pkill-pane #P? (y/n)
1709124507.479821 yylex_token: end at WS
1709124507.479822 yylex_token: kill-pane
1709124507.479823 cmd_parse_build_commands 0:0: bind
1709124507.479824 cmd_parse_build_commands 0:1: -N
1709124507.479825 cmd_parse_build_commands 0:2: Kill the active pane
1709124507.479826 cmd_parse_build_commands 0:3: x
1709124507.479827 cmd_parse_build_commands 0:4 0:0: confirm-before
1709124507.479828 cmd_parse_build_commands 0:4 0:1: -pkill-pane #P? (y/n)
1709124507.479829 cmd_parse_build_commands 0:4 0:2: kill-pane
1709124507.479830 cmd_parse_build_commands 0:0: confirm-before
1709124507.479831 cmd_parse_build_commands 0:1: -pkill-pane #P? (y/n)
1709124507.479832 cmd_parse_build_commands 0:2: kill-pane
1709124507.479833 args_parse_flags: next -pkill-pane #P? (y/n)
1709124507.479834 args_parse_flag_argument: -p = kill-pane #P? (y/n)
1709124507.479835 args_parse_flags: next kill-pane
1709124507.479836 args_parse: flags end at 2 of 3
1709124507.479837 args_parse: 2 = kill-pane (type STRING)
1709124507.479839 cmd_parse_build_commands: confirm-before -p "kill-pane #P? (y/n)" kill-pane
1709124507.479840 args_parse_flags: next -N
1709124507.479841 args_parse_flag_argument: -N = Kill the active pane
1709124507.479842 args_parse_flags: next x
1709124507.479842 args_parse: flags end at 3 of 5
1709124507.479843 args_parse: 3 = x (type STRING)
1709124507.479845 args_parse: 4 = confirm-before -p "kill-pane #P? (y/n)" kill-pane (type COMMANDS)
1709124507.479849 cmd_parse_build_commands: bind-key -N "Kill the active pane" x { confirm-before -p "kill-pane #P? (y/n)" kill-pane }
1709124507.479850 cmdq_get_command: [bind-key/0x55bdeabe32f0] group 442
1709124507.479851 cmdq_append <global>: [bind-key/0x55bdeabe32f0]
1709124507.479854 yylex_token: end at WS
1709124507.479855 yylex_token: bind
1709124507.479856 yylex_token: end at WS
1709124507.479856 yylex_token: -N
1709124507.479857 yylex_token: end at WS
1709124507.479858 yylex_token: Zoom the active pane
1709124507.479859 yylex_token: end at WS
1709124507.479860 yylex_token: z
1709124507.479861 yylex_token: end at WS
1709124507.479861 yylex_token: resize-pane
1709124507.479862 yylex_token: end at WS
1709124507.479863 yylex_token: -Z
1709124507.479864 cmd_parse_build_commands 0:0: bind
1709124507.479865 cmd_parse_build_commands 0:1: -N
1709124507.479867 cmd_parse_build_commands 0:2: Zoom the active pane
1709124507.479868 cmd_parse_build_commands 0:3: z
1709124507.479869 cmd_parse_build_commands 0:4 0:0: resize-pane
1709124507.479869 cmd_parse_build_commands 0:4 0:1: -Z
1709124507.479871 cmd_parse_build_commands 0:0: resize-pane
1709124507.479871 cmd_parse_build_commands 0:1: -Z
1709124507.479873 args_parse_flags: next -Z
1709124507.479874 args_parse_flags: -Z
1709124507.479875 args_parse: flags end at 2 of 2
1709124507.479876 cmd_parse_build_commands: resize-pane -Z
1709124507.479877 args_parse_flags: next -N
1709124507.479878 args_parse_flag_argument: -N = Zoom the active pane
1709124507.479879 args_parse_flags: next z
1709124507.479879 args_parse: flags end at 3 of 5
1709124507.479880 args_parse: 3 = z (type STRING)
1709124507.479881 args_parse: 4 = resize-pane -Z (type COMMANDS)
1709124507.479884 cmd_parse_build_commands: bind-key -N "Zoom the active pane" z { resize-pane -Z }
1709124507.479885 cmdq_get_command: [bind-key/0x55bdeabe3750] group 450
1709124507.479886 cmdq_append <global>: [bind-key/0x55bdeabe3750]
1709124507.479888 yylex_token: end at WS
1709124507.479888 yylex_token: bind
1709124507.479889 yylex_token: end at WS
1709124507.479890 yylex_token: -N
1709124507.479891 yylex_token: end at WS
1709124507.479892 yylex_token: Swap the active pane with the pane above
1709124507.479893 yylex_token: end at WS
1709124507.479894 yylex_token: {
1709124507.479895 yylex_token: end at WS
1709124507.479895 yylex_token: swap-pane
1709124507.479896 yylex_token: end at WS
1709124507.479897 yylex_token: -U
1709124507.479898 cmd_parse_build_commands 0:0: bind
1709124507.479899 cmd_parse_build_commands 0:1: -N
1709124507.479900 cmd_parse_build_commands 0:2: Swap the active pane with the pane above
1709124507.479901 cmd_parse_build_commands 0:3: {
1709124507.479902 cmd_parse_build_commands 0:4 0:0: swap-pane
1709124507.479902 cmd_parse_build_commands 0:4 0:1: -U
1709124507.479904 cmd_parse_build_commands 0:0: swap-pane
1709124507.479904 cmd_parse_build_commands 0:1: -U
1709124507.479906 args_parse_flags: next -U
1709124507.479907 args_parse_flags: -U
1709124507.479908 args_parse: flags end at 2 of 2
1709124507.479909 cmd_parse_build_commands: swap-pane -U
1709124507.479910 args_parse_flags: next -N
1709124507.479911 args_parse_flag_argument: -N = Swap the active pane with the pane above
1709124507.479912 args_parse_flags: next {
1709124507.479913 args_parse: flags end at 3 of 5
1709124507.479914 args_parse: 3 = { (type STRING)
1709124507.479915 args_parse: 4 = swap-pane -U (type COMMANDS)
1709124507.479918 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane above" \\{ { swap-pane -U }
1709124507.479919 cmdq_get_command: [bind-key/0x55bdeabe3c40] group 458
1709124507.479920 cmdq_append <global>: [bind-key/0x55bdeabe3c40]
1709124507.479922 yylex_token: end at WS
1709124507.479922 yylex_token: bind
1709124507.479923 yylex_token: end at WS
1709124507.479924 yylex_token: -N
1709124507.479926 yylex_token: end at WS
1709124507.479926 yylex_token: Swap the active pane with the pane below
1709124507.479927 yylex_token: end at WS
1709124507.479928 yylex_token: }
1709124507.479929 yylex_token: end at WS
1709124507.479930 yylex_token: swap-pane
1709124507.479931 yylex_token: end at WS
1709124507.479931 yylex_token: -D
1709124507.479932 cmd_parse_build_commands 0:0: bind
1709124507.479933 cmd_parse_build_commands 0:1: -N
1709124507.479934 cmd_parse_build_commands 0:2: Swap the active pane with the pane below
1709124507.479935 cmd_parse_build_commands 0:3: }
1709124507.479936 cmd_parse_build_commands 0:4 0:0: swap-pane
1709124507.479937 cmd_parse_build_commands 0:4 0:1: -D
1709124507.479938 cmd_parse_build_commands 0:0: swap-pane
1709124507.479939 cmd_parse_build_commands 0:1: -D
1709124507.479941 args_parse_flags: next -D
1709124507.479941 args_parse_flags: -D
1709124507.479942 args_parse: flags end at 2 of 2
1709124507.479943 cmd_parse_build_commands: swap-pane -D
1709124507.479944 args_parse_flags: next -N
1709124507.479945 args_parse_flag_argument: -N = Swap the active pane with the pane below
1709124507.479947 args_parse_flags: next }
1709124507.479948 args_parse: flags end at 3 of 5
1709124507.479949 args_parse: 3 = } (type STRING)
1709124507.479950 args_parse: 4 = swap-pane -D (type COMMANDS)
1709124507.479953 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane below" \\} { swap-pane -D }
1709124507.479954 cmdq_get_command: [bind-key/0x55bdeabe4370] group 466
1709124507.479955 cmdq_append <global>: [bind-key/0x55bdeabe4370]
1709124507.479958 yylex_token: end at WS
1709124507.479959 yylex_token: bind
1709124507.479960 yylex_token: end at WS
1709124507.479960 yylex_token: -N
1709124507.479961 yylex_token: end at WS
1709124507.479962 yylex_token: Show messages
1709124507.479963 yylex_token: end at WS
1709124507.479964 yylex_token: ~
1709124507.479965 yylex_token: end at WS
1709124507.479966 yylex_token: show-messages
1709124507.479967 cmd_parse_build_commands 0:0: bind
1709124507.479968 cmd_parse_build_commands 0:1: -N
1709124507.479968 cmd_parse_build_commands 0:2: Show messages
1709124507.479969 cmd_parse_build_commands 0:3: ~
1709124507.479970 cmd_parse_build_commands 0:4 0:0: show-messages
1709124507.479972 cmd_parse_build_commands 0:0: show-messages
1709124507.479974 args_parse: flags end at 1 of 1
1709124507.479975 cmd_parse_build_commands: show-messages
1709124507.479976 args_parse_flags: next -N
1709124507.479977 args_parse_flag_argument: -N = Show messages
1709124507.479977 args_parse_flags: next ~
1709124507.479978 args_parse: flags end at 3 of 5
1709124507.479979 args_parse: 3 = ~ (type STRING)
1709124507.479980 args_parse: 4 = show-messages (type COMMANDS)
1709124507.479983 cmd_parse_build_commands: bind-key -N "Show messages" \\~ { show-messages }
1709124507.479984 cmdq_get_command: [bind-key/0x55bdeabe4640] group 474
1709124507.479985 cmdq_append <global>: [bind-key/0x55bdeabe4640]
1709124507.479987 yylex_token: end at WS
1709124507.479987 yylex_token: bind
1709124507.479988 yylex_token: end at WS
1709124507.479989 yylex_token: -N
1709124507.479990 yylex_token: end at WS
1709124507.479991 yylex_token: Enter copy mode and scroll up
1709124507.479992 yylex_token: end at WS
1709124507.479993 yylex_token: PPage
1709124507.479994 yylex_token: end at WS
1709124507.479994 yylex_token: copy-mode
1709124507.479995 yylex_token: end at WS
1709124507.479996 yylex_token: -u
1709124507.479997 cmd_parse_build_commands 0:0: bind
1709124507.479998 cmd_parse_build_commands 0:1: -N
1709124507.479999 cmd_parse_build_commands 0:2: Enter copy mode and scroll up
1709124507.480000 cmd_parse_build_commands 0:3: PPage
1709124507.480001 cmd_parse_build_commands 0:4 0:0: copy-mode
1709124507.480002 cmd_parse_build_commands 0:4 0:1: -u
1709124507.480003 cmd_parse_build_commands 0:0: copy-mode
1709124507.480004 cmd_parse_build_commands 0:1: -u
1709124507.480005 args_parse_flags: next -u
1709124507.480005 args_parse_flags: -u
1709124507.480006 args_parse: flags end at 2 of 2
1709124507.480008 cmd_parse_build_commands: copy-mode -u
1709124507.480008 args_parse_flags: next -N
1709124507.480009 args_parse_flag_argument: -N = Enter copy mode and scroll up
1709124507.480010 args_parse_flags: next PPage
1709124507.480011 args_parse: flags end at 3 of 5
1709124507.480012 args_parse: 3 = PPage (type STRING)
1709124507.480013 args_parse: 4 = copy-mode -u (type COMMANDS)
1709124507.480016 cmd_parse_build_commands: bind-key -N "Enter copy mode and scroll up" PPage { copy-mode -u }
1709124507.480017 cmdq_get_command: [bind-key/0x55bdeabe4f80] group 482
1709124507.480018 cmdq_append <global>: [bind-key/0x55bdeabe4f80]
1709124507.480020 yylex_token: end at WS
1709124507.480020 yylex_token: bind
1709124507.480021 yylex_token: end at WS
1709124507.480022 yylex_token: -N
1709124507.480023 yylex_token: end at WS
1709124507.480024 yylex_token: Select the pane above the active pane
1709124507.480025 yylex_token: end at WS
1709124507.480026 yylex_token: -r
1709124507.480027 yylex_token: end at WS
1709124507.480027 yylex_token: Up
1709124507.480028 yylex_token: end at WS
1709124507.480030 yylex_token: select-pane
1709124507.480031 yylex_token: end at WS
1709124507.480032 yylex_token: -U
1709124507.480033 cmd_parse_build_commands 0:0: bind
1709124507.480034 cmd_parse_build_commands 0:1: -N
1709124507.480035 cmd_parse_build_commands 0:2: Select the pane above the active pane
1709124507.480036 cmd_parse_build_commands 0:3: -r
1709124507.480037 cmd_parse_build_commands 0:4: Up
1709124507.480038 cmd_parse_build_commands 0:5 0:0: select-pane
1709124507.480039 cmd_parse_build_commands 0:5 0:1: -U
1709124507.480040 cmd_parse_build_commands 0:0: select-pane
1709124507.480041 cmd_parse_build_commands 0:1: -U
1709124507.480043 args_parse_flags: next -U
1709124507.480044 args_parse_flags: -U
1709124507.480044 args_parse: flags end at 2 of 2
1709124507.480046 cmd_parse_build_commands: select-pane -U
1709124507.480046 args_parse_flags: next -N
1709124507.480047 args_parse_flag_argument: -N = Select the pane above the active pane
1709124507.480048 args_parse_flags: next -r
1709124507.480049 args_parse_flags: -r
1709124507.480050 args_parse_flags: next Up
1709124507.480051 args_parse: flags end at 4 of 6
1709124507.480052 args_parse: 4 = Up (type STRING)
1709124507.480053 args_parse: 5 = select-pane -U (type COMMANDS)
1709124507.480056 cmd_parse_build_commands: bind-key -r -N "Select the pane above the active pane" Up { select-pane -U }
1709124507.480057 cmdq_get_command: [bind-key/0x55bdeabe5780] group 490
1709124507.480058 cmdq_append <global>: [bind-key/0x55bdeabe5780]
1709124507.480061 yylex_token: end at WS
1709124507.480062 yylex_token: bind
1709124507.480063 yylex_token: end at WS
1709124507.480063 yylex_token: -N
1709124507.480065 yylex_token: end at WS
1709124507.480066 yylex_token: Select the pane below the active pane
1709124507.480067 yylex_token: end at WS
1709124507.480067 yylex_token: -r
1709124507.480068 yylex_token: end at WS
1709124507.480069 yylex_token: Down
1709124507.480070 yylex_token: end at WS
1709124507.480071 yylex_token: select-pane
1709124507.480071 yylex_token: end at WS
1709124507.480072 yylex_token: -D
1709124507.480073 cmd_parse_build_commands 0:0: bind
1709124507.480074 cmd_parse_build_commands 0:1: -N
1709124507.480075 cmd_parse_build_commands 0:2: Select the pane below the active pane
1709124507.480076 cmd_parse_build_commands 0:3: -r
1709124507.480077 cmd_parse_build_commands 0:4: Down
1709124507.480078 cmd_parse_build_commands 0:5 0:0: select-pane
1709124507.480079 cmd_parse_build_commands 0:5 0:1: -D
1709124507.480080 cmd_parse_build_commands 0:0: select-pane
1709124507.480081 cmd_parse_build_commands 0:1: -D
1709124507.480083 args_parse_flags: next -D
1709124507.480083 args_parse_flags: -D
1709124507.480084 args_parse: flags end at 2 of 2
1709124507.480086 cmd_parse_build_commands: select-pane -D
1709124507.480086 args_parse_flags: next -N
1709124507.480087 args_parse_flag_argument: -N = Select the pane below the active pane
1709124507.480088 args_parse_flags: next -r
1709124507.480089 args_parse_flags: -r
1709124507.480090 args_parse_flags: next Down
1709124507.480090 args_parse: flags end at 4 of 6
1709124507.480091 args_parse: 4 = Down (type STRING)
1709124507.480093 args_parse: 5 = select-pane -D (type COMMANDS)
1709124507.480096 cmd_parse_build_commands: bind-key -r -N "Select the pane below the active pane" Down { select-pane -D }
1709124507.480097 cmdq_get_command: [bind-key/0x55bdeabe5ec0] group 498
1709124507.480098 cmdq_append <global>: [bind-key/0x55bdeabe5ec0]
1709124507.480099 yylex_token: end at WS
1709124507.480100 yylex_token: bind
1709124507.480101 yylex_token: end at WS
1709124507.480102 yylex_token: -N
1709124507.480103 yylex_token: end at WS
1709124507.480104 yylex_token: Select the pane to the left of the active pane
1709124507.480105 yylex_token: end at WS
1709124507.480106 yylex_token: -r
1709124507.480107 yylex_token: end at WS
1709124507.480107 yylex_token: Left
1709124507.480108 yylex_token: end at WS
1709124507.480109 yylex_token: select-pane
1709124507.480110 yylex_token: end at WS
1709124507.480111 yylex_token: -L
1709124507.480113 cmd_parse_build_commands 0:0: bind
1709124507.480114 cmd_parse_build_commands 0:1: -N
1709124507.480115 cmd_parse_build_commands 0:2: Select the pane to the left of the active pane
1709124507.480116 cmd_parse_build_commands 0:3: -r
1709124507.480117 cmd_parse_build_commands 0:4: Left
1709124507.480118 cmd_parse_build_commands 0:5 0:0: select-pane
1709124507.480119 cmd_parse_build_commands 0:5 0:1: -L
1709124507.480120 cmd_parse_build_commands 0:0: select-pane
